ENTITYA	TYPEA	IDA	DATABASEA	ENTITYB	TYPEB	IDB	DATABASEB	EFFECT	MECHANISM	RESIDUE	SEQUENCE	TAX_ID	CELL_DATA	TISSUE_DATA	MODULATOR_COMPLEX	TARGET_COMPLEX	MODIFICATIONA	MODASEQ	MODIFICATIONB	MODBSEQ	PMID	DIRECT	NOTES	ANNOTATOR	SENTENCE	SCORE	SIGNOR_ID
CYP27B1	protein	O15528	UNIPROT	calcitriol	smallmolecule	CHEBI:17823	ChEBI	up-regulates quantity	chemical modification			9606		BTO:0000671							12050193	YES		lperfetto	The rate-limiting, hormonally regulated step in the biological activation of vitamin D is its 1alpha-hydroxylation to 1,25-dihydroxyvitamin D [1,25-(OH)(2)D] in the kidney, catalyzed by the mitochondrial cytochrome P450 enzyme, P450c1alpha.	0.8	SIGNOR-270559
Food intake	phenotype	SIGNOR-PH152	SIGNOR	vitamin D	smallmolecule	CHEBI:27300	ChEBI	up-regulates quantity				9606									30080183	NO		lperfetto	Ultraviolet radiation results in the conversion of 7-dehydrocholesterol to pre-vitamin D, which isomerizes to vitamin D in the skin. Vitamin D can also be obtained from nutrition.	0.7	SIGNOR-270565
calcitriol	smallmolecule	CHEBI:17823	ChEBI	propan-2-ol	smallmolecule	CHEBI:17824	ChEBI	up-regulates quantity	precursor of												30080183	YES		lperfetto	Homozygous mutations in the vitamin D 24-hydroxylase CYP24A1, the major enzyme responsible for inactivation of 25-hydroxyvitamin D and 1,25-dihydroxyvitamin D, lead to idiopathic infantile hypercalcemia (IIH).	0.8	SIGNOR-270573
CYP2R1	protein	Q6VVX0	UNIPROT	calcidiol	smallmolecule	CHEBI:17933	ChEBI	up-regulates quantity	chemical modification			9606		BTO:0000759							30080183	YES		lperfetto	Vitamin D-binding protein transports vitamin D to the liver, where it undergoes 25-hydroxylation by CYP2R1. CYP27B1 further hydroxylates 25-hydroxyvitamin D at the 1-alpha position, resulting in the formation of the active hormone 1,25-dihydroxyvitamin D.	0.8	SIGNOR-270568
cholesta-5,7-dien-3beta-ol	smallmolecule	CHEBI:17759	ChEBI	calciol	smallmolecule	CHEBI:28940	ChEBI	up-regulates quantity	precursor of			9606		BTO:0001253							30080183	YES		lperfetto	Ultraviolet radiation results in the conversion of 7-dehydrocholesterol to pre-vitamin D, which isomerizes to vitamin D in the skin	0.8	SIGNOR-270561
calciol	smallmolecule	CHEBI:28940	ChEBI	vitamin D	smallmolecule	CHEBI:27300	ChEBI	up-regulates quantity	precursor of			9606		BTO:0001253							30080183	YES		lperfetto	Ultraviolet radiation results in the conversion of 7-dehydrocholesterol to pre-vitamin D, which isomerizes to vitamin D in the skin	0.8	SIGNOR-270564
GC	protein	P02774	UNIPROT	vitamin D	smallmolecule	CHEBI:27300	ChEBI	up-regulates quantity	relocalization			9606		BTO:0000759							30080183	YES		lperfetto	Vitamin D-binding protein transports vitamin D to the liver, where it undergoes 25-hydroxylation by CYP2R1. CYP27B1 further hydroxylates 25-hydroxyvitamin D at the 1-alpha position, resulting in the formation of the active hormone 1,25-dihydroxyvitamin D.	0.8	SIGNOR-270566
calcidiol	smallmolecule	CHEBI:17933	ChEBI	calcitriol	smallmolecule	CHEBI:17823	ChEBI	up-regulates quantity	precursor of			9606		BTO:0000671							12050193	YES		lperfetto	The rate-limiting, hormonally regulated step in the biological activation of vitamin D is its 1alpha-hydroxylation to 1,25-dihydroxyvitamin D [1,25-(OH)(2)D] in the kidney, catalyzed by the mitochondrial cytochrome P450 enzyme, P450c1alpha.	0.8	SIGNOR-270558
CYP2R1	protein	Q6VVX0	UNIPROT	vitamin D	smallmolecule	CHEBI:27300	ChEBI	down-regulates quantity	chemical modification			9606		BTO:0000759							30080183	YES		lperfetto	Vitamin D-binding protein transports vitamin D to the liver, where it undergoes 25-hydroxylation by CYP2R1. CYP27B1 further hydroxylates 25-hydroxyvitamin D at the 1-alpha position, resulting in the formation of the active hormone 1,25-dihydroxyvitamin D.	0.8	SIGNOR-270569
CYP24A1	protein	Q07973	UNIPROT	calcitetrol	smallmolecule	CHEBI:47799	ChEBI	up-regulates quantity	chemical modification												30080183	YES		lperfetto	Homozygous mutations in the vitamin D 24-hydroxylase CYP24A1, the major enzyme responsible for inactivation of 25-hydroxyvitamin D and 1,25-dihydroxyvitamin D, lead to idiopathic infantile hypercalcemia (IIH).	0.8	SIGNOR-270571
